Product_ID,Category,Product_Name,Brand,Price_INR,Rating,Reviews,Units_Sold,Discount_Percent,Demand,In_Stock
1001,Electronics,Wireless Headphones,Boat,1594,4.4,200,110,5,Medium,Yes
1002,Fashion,Running Shoes,Nike,3716,4.7,187,143,25,High,Yes
1003,Grocery,Almonds 500g,Nutraj,668,4.8,378,107,0,Medium,Yes
1004,Electronics,Smart Watch,Noise,2369,4.4,160,101,20,Medium,Yes
1005,Grocery,Green Tea,Lipton,306,4.3,58,101,25,Medium,Yes
1006,Grocery,Honey,Dabur,284,4.0,108,154,20,High,Yes
1007,Home,Table Lamp,Philips,959,3.9,82,118,5,Medium,Yes
1008,Beauty,Face Serum,Minimalist,672,4.1,232,54,5,Low,Yes
1009,Home,Bedsheet,Portico,1104,4.0,239,19,0,Low,No
1010,Home,Study Table,Wakefit,5748,4.3,145,57,0,Low,Yes
1011,Beauty,Lipstick,Maybelline,648,4.0,809,121,15,High,Yes
1012,Electronics,Smartphone,Samsung,19289,3.8,393,70,25,Medium,Yes
1013,Grocery,Brown Rice,India Gate,410,4.3,56,115,25,Medium,Yes
1014,Electronics,Wireless Headphones,Boat,1567,4.3,371,141,30,High,Yes
1015,Home,Bedsheet,Portico,1305,4.2,179,73,30,Medium,Yes
1016,Electronics,Keyboard,HP,864,3.9,160,152,25,High,Yes
1017,Home,Wall Clock,Ajanta,490,4.3,64,88,5,Medium,Yes
1018,Home,Bedsheet,Portico,1240,4.1,137,93,5,Medium,Yes
1019,Grocery,Protein Bar Pack,Yoga Bar,467,4.6,424,119,15,Medium,Yes
1020,Home,Floor Mat,Story@Home,615,4.1,279,116,10,Medium,Yes
1021,Electronics,Power Bank,Mi,1080,4.0,194,89,30,Medium,Yes
1022,Home,Storage Box,Amazon Basics,718,3.8,391,112,5,Medium,Yes
1023,Grocery,Brown Rice,India Gate,378,4.2,446,151,15,High,Yes
1024,Beauty,Moisturizer,Ponds,372,4.0,285,155,5,High,Yes
1025,Fashion,Women Top,W,1018,4.2,661,47,25,Low,Yes
1026,Grocery,Honey,Dabur,328,4.5,235,136,15,High,Yes
1027,Home,Water Bottle,Milton,782,4.2,55,67,5,Medium,Yes
1028,Grocery,Corn Flakes,Kelloggs,321,4.3,622,93,0,Medium,Yes
1029,Electronics,Bluetooth Speaker,JBL,4151,3.9,155,157,30,High,Yes
1030,Beauty,Face Mask,Mamaearth,273,4.3,152,147,15,High,Yes
1031,Grocery,Corn Flakes,Kelloggs,355,4.2,436,124,20,High,Yes
1032,Electronics,Smart Watch,Noise,2624,4.1,168,59,20,Low,Yes
1033,Home,Coffee Mug,Cello,276,4.3,265,97,15,Medium,Yes
1034,Fashion,Sneakers,Adidas,2701,4.1,82,121,25,High,Yes
1035,Home,Floor Mat,Story@Home,693,4.1,126,96,20,Medium,Yes
1036,Electronics,USB-C Cable,Portronics,379,4.3,829,121,20,High,Yes
1037,Grocery,Protein Bar Pack,Yoga Bar,466,4.3,210,104,30,Medium,Yes
1038,Fashion,Women Top,W,1109,4.2,230,215,20,High,Yes
